                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.80715,                 0.5276,                 1.8549,                 0.8735,                0.95603,                0.96951,                0.67006,                 1.9619,                 1.1387,                 2.4788,               0.006304,               0.006304,               0.006304
                    114,                0.80543,                0.52555,                 1.8542,                 0.8674,                0.95745,                0.96886,                0.66947,                  1.961,                 1.1411,                  2.477,               0.006271,               0.006271,               0.006271
                    115,                0.80233,                0.52587,                 1.8535,                0.86791,                0.96171,                0.96908,                0.66905,                 1.9613,                 1.1421,                 2.4783,               0.006238,               0.006238,               0.006238
                    116,                 0.8032,                 0.5265,                 1.8506,                0.86911,                0.95606,                0.96937,                0.66871,                 1.9602,                 1.1466,                 2.4747,               0.006205,               0.006205,               0.006205
                    117,                0.79948,                0.52072,                 1.8482,                0.86771,                 0.9644,                0.96923,                0.66755,                 1.9585,                 1.1411,                  2.472,               0.006172,               0.006172,               0.006172
                    118,                0.80159,                0.52184,                 1.8478,                0.87516,                0.96519,                0.96965,                0.67011,                 1.9593,                 1.1369,                 2.4723,               0.006139,               0.006139,               0.006139
                    119,                0.80508,                0.52886,                 1.8551,                0.87688,                0.96044,                0.97038,                0.67337,                 1.9626,                 1.1358,                 2.4745,               0.006106,               0.006106,               0.006106
                    120,                 0.7892,                0.52025,                 1.8461,                0.87382,                0.96123,                0.96989,                0.67261,                 1.9672,                 1.1397,                 2.4773,               0.006073,               0.006073,               0.006073
                    121,                0.80149,                0.52696,                 1.8495,                0.87437,                0.95805,                 0.9691,                0.67094,                 1.9682,                 1.1462,                 2.4771,                0.00604,                0.00604,                0.00604
                    122,                0.78928,                0.51773,                  1.851,                0.87464,                0.96592,                0.97088,                0.67322,                 1.9686,                 1.1456,                 2.4788,               0.006007,               0.006007,               0.006007
                    123,                0.79006,                0.51806,                  1.853,                0.87337,                0.96835,                0.97105,                0.67239,                 1.9706,                 1.1491,                 2.4818,               0.005974,               0.005974,               0.005974
                    124,                0.79003,                0.52062,                 1.8482,                0.87379,                0.96915,                0.97122,                0.67318,                 1.9738,                 1.1549,                  2.486,               0.005941,               0.005941,               0.005941
                    125,                0.78956,                0.51724,                 1.8443,                0.86984,                 0.9644,                0.97192,                 0.6727,                 1.9762,                 1.1577,                 2.4874,               0.005908,               0.005908,               0.005908
